T,M,E,C,chi
0.50,1.00,-2.00,0.00,0.00
0.66,1.00,-2.00,0.00,0.00
0.82,1.00,-2.00,0.01,0.00
0.97,1.00,-2.00,0.03,0.00
1.13,1.00,-1.99,0.07,0.00
1.29,1.00,-1.98,0.08,0.00
1.45,0.99,-1.96,0.16,0.00
1.51,0.99,-1.95,0.17,0.00
1.61,0.98,-1.93,0.29,0.00
1.66,0.97,-1.91,0.28,0.00
1.72,0.97,-1.89,0.29,0.00
1.76,0.96,-1.88,0.35,0.00
1.76,0.96,-1.88,0.37,0.00
1.77,0.96,-1.87,0.41,0.00
1.80,0.95,-1.85,0.54,0.00
1.82,0.95,-1.85,0.49,0.00
1.84,0.95,-1.85,0.43,0.00
1.84,0.95,-1.84,0.48,0.00
1.86,0.95,-1.83,0.55,0.00
1.88,0.95,-1.83,0.52,0.00
1.91,0.94,-1.80,0.57,0.00
1.92,0.94,-1.80,0.65,0.00
1.92,0.93,-1.80,0.52,0.00
1.94,0.91,-1.76,0.85,0.00
1.95,0.92,-1.78,0.77,0.00
1.97,0.92,-1.77,0.73,0.00
1.97,0.92,-1.75,0.62,0.00
1.98,0.92,-1.76,0.52,0.00
2.00,0.92,-1.77,0.68,0.00
2.00,0.90,-1.73,0.92,0.00
2.00,0.91,-1.74,0.76,0.00
2.01,0.90,-1.72,1.06,0.00
2.02,0.91,-1.73,0.66,0.00
2.02,0.91,-1.74,1.01,0.00
2.03,0.90,-1.72,0.66,0.00
2.08,0.88,-1.68,0.83,0.00
2.08,0.88,-1.68,0.87,0.00
2.09,0.88,-1.67,0.99,0.00
2.10,0.88,-1.67,0.86,0.00
2.10,0.86,-1.66,1.28,0.00
2.11,0.88,-1.67,0.90,0.00
2.12,0.84,-1.63,1.29,0.00
2.12,0.86,-1.65,1.01,0.00
2.12,0.88,-1.67,0.89,0.00
2.13,0.86,-1.63,0.83,0.00
2.16,0.85,-1.61,1.09,0.00
2.16,0.83,-1.60,1.12,0.00
2.17,-0.15,-1.59,1.28,0.00
2.17,0.80,-1.57,1.31,0.00
2.18,0.83,-1.59,1.00,0.00
2.22,-0.54,-1.49,1.91,0.00
2.22,0.79,-1.54,1.22,0.00
2.24,0.56,-1.47,1.59,0.00
2.24,0.75,-1.49,1.43,0.00
2.27,0.53,-1.45,1.58,0.00
2.28,0.53,-1.45,1.37,0.00
2.28,0.33,-1.43,1.47,0.00
2.29,-0.33,-1.40,1.57,0.00
2.30,0.62,-1.39,1.81,0.00
2.30,0.18,-1.38,1.59,0.00
2.34,0.02,-1.31,1.53,0.00
2.34,-0.03,-1.34,1.42,0.00
2.34,0.42,-1.34,1.66,0.00
2.35,0.19,-1.34,1.72,0.00
2.35,0.16,-1.34,1.68,0.00
2.35,0.21,-1.33,1.65,0.00
2.39,0.18,-1.26,1.67,0.00
2.39,-0.32,-1.26,1.56,0.00
2.41,-0.05,-1.25,1.23,0.00
2.43,0.51,-1.22,1.20,0.00
2.43,0.53,-1.27,1.18,0.00
2.45,0.16,-1.20,1.39,0.00
2.45,-0.14,-1.21,1.03,0.00
2.49,-0.03,-1.16,1.65,0.00
2.49,0.03,-1.16,1.61,0.00
2.50,0.20,-1.13,1.50,0.00
2.51,0.19,-1.08,1.11,0.00
2.52,0.02,-1.10,0.90,0.00
2.53,0.17,-1.09,1.48,0.00
2.54,-0.11,-1.13,1.22,0.00
2.55,0.06,-1.07,1.08,0.00
2.55,0.12,-1.08,1.33,0.00
2.56,0.13,-1.08,1.01,0.00
2.60,-0.03,-1.05,0.96,0.00
2.64,0.01,-1.02,0.98,0.00
2.67,-0.00,-0.97,0.86,0.00
2.69,0.08,-0.98,0.54,0.00
2.71,0.01,-0.97,0.74,0.00
2.73,0.11,-0.97,0.71,0.00
2.76,0.08,-0.94,0.65,0.00
2.76,0.07,-0.94,0.73,0.00
2.82,0.10,-0.91,0.76,0.00
2.83,0.05,-0.92,0.70,0.00
2.83,0.03,-0.93,0.83,0.00
2.87,-0.02,-0.89,0.71,0.00
2.94,-0.02,-0.85,0.49,0.00
3.03,0.03,-0.81,0.50,0.00
3.18,-0.02,-0.76,0.38,0.00
3.34,-0.01,-0.70,0.34,0.00
3.50,0.01,-0.67,0.31,0.00
