T,M,E,C
0.50,1.00,-0.00,0.00
0.66,1.00,-0.00,0.00
0.82,1.00,-0.00,0.01
0.97,1.00,-0.00,0.02
1.13,1.00,0.01,0.05
1.29,0.99,0.02,0.12
1.33,0.99,0.02,0.11
1.44,0.99,0.03,0.15
1.45,0.99,0.04,0.14
1.61,0.98,0.07,0.21
1.67,0.97,0.09,0.28
1.70,0.97,0.10,0.26
1.71,0.97,0.10,0.33
1.73,0.97,0.11,0.36
1.75,0.97,0.11,0.35
1.76,0.96,0.13,0.41
1.78,0.96,0.13,0.38
1.84,0.95,0.15,0.57
1.85,0.95,0.16,0.40
1.92,0.94,0.19,0.50
1.92,0.93,0.21,0.74
1.93,0.94,0.19,0.42
1.93,0.93,0.21,0.52
1.96,0.92,0.22,0.65
1.97,0.91,0.25,0.75
1.98,0.91,0.24,0.79
2.00,0.91,0.25,0.68
2.01,0.91,0.27,0.81
2.03,0.91,0.26,0.73
2.03,0.90,0.28,0.96
2.04,0.90,0.29,0.89
2.05,0.89,0.30,0.95
2.05,0.89,0.29,1.22
2.06,0.89,0.29,0.96
2.07,0.89,0.30,0.99
2.07,0.88,0.31,0.87
2.07,0.88,0.32,1.08
2.08,0.88,0.33,1.24
2.10,0.87,0.33,0.97
2.12,0.86,0.35,0.93
2.14,0.84,0.38,1.22
2.15,0.85,0.38,1.17
2.16,0.84,0.39,1.11
2.17,0.81,0.41,1.45
2.20,0.80,0.45,1.19
2.21,0.78,0.47,1.28
2.21,0.77,0.47,1.51
2.22,0.78,0.47,1.31
2.23,0.48,0.50,1.82
2.24,0.74,0.50,1.63
2.24,0.71,0.52,1.81
2.26,0.66,0.55,2.07
2.26,0.71,0.54,1.64
2.28,0.68,0.56,1.68
2.29,-0.13,0.59,1.95
2.29,0.65,0.59,1.77
2.29,0.62,0.60,1.90
2.29,0.40,0.62,2.08
2.31,0.63,0.61,1.62
2.31,-0.39,0.63,1.98
2.34,0.33,0.70,1.64
2.34,0.06,0.71,1.51
2.36,-0.15,0.74,1.52
2.36,-0.22,0.69,1.87
2.36,0.24,0.76,1.52
2.37,0.21,0.73,1.84
2.38,0.44,0.74,1.15
2.38,0.45,0.72,1.56
2.39,0.03,0.78,1.34
2.39,0.26,0.78,1.65
2.41,0.05,0.81,1.30
2.42,0.04,0.82,1.14
2.43,0.22,0.80,1.41
2.44,-0.08,0.82,1.54
2.45,-0.02,0.83,1.48
2.48,0.02,0.89,1.09
2.48,-0.16,0.87,1.30
2.50,-0.06,0.86,1.62
2.51,0.23,0.87,1.24
2.52,0.15,0.89,1.51
2.53,-0.13,0.88,1.39
2.54,0.15,0.92,1.15
2.55,0.18,0.91,1.14
2.55,-0.04,0.94,1.17
2.55,0.24,0.92,1.00
2.56,0.19,0.92,1.18
2.57,0.18,0.92,1.30
2.58,0.21,0.93,1.42
2.60,0.20,0.94,1.22
2.64,-0.04,0.98,1.04
2.65,0.03,0.99,0.97
2.67,0.07,1.01,1.17
2.71,0.06,1.05,1.01
2.74,0.04,1.04,1.02
2.76,0.02,1.07,1.03
2.87,0.01,1.12,0.68
3.03,0.01,1.19,0.64
3.18,-0.01,1.25,0.50
3.34,-0.00,1.30,0.51
3.50,-0.00,1.33,0.45
