T,M,E,C
0.50,1.00,-2.00,0.00
0.66,1.00,-2.00,0.00
0.82,1.00,-2.00,0.01
0.97,1.00,-2.00,0.02
1.13,1.00,-1.99,0.04
1.29,1.00,-1.98,0.09
1.45,0.99,-1.96,0.14
1.61,0.98,-1.93,0.27
1.76,0.96,-1.88,0.40
1.92,0.94,-1.80,0.54
2.07,0.89,-1.69,0.85
2.08,0.87,-1.68,0.99
2.09,0.86,-1.66,1.04
2.11,0.87,-1.66,0.99
2.12,0.86,-1.65,1.07
2.12,0.86,-1.64,1.00
2.13,0.85,-1.63,0.99
2.14,0.84,-1.62,1.17
2.15,0.84,-1.61,1.12
2.15,-0.09,-1.60,1.15
2.16,-0.80,-1.59,1.14
2.16,0.83,-1.60,1.20
2.17,0.81,-1.59,1.30
2.17,0.83,-1.60,1.11
2.17,0.83,-1.59,1.10
2.17,0.44,-1.59,1.13
2.18,0.81,-1.58,1.25
2.19,0.80,-1.56,1.26
2.19,0.55,-1.56,1.35
2.20,-0.68,-1.54,1.49
2.20,0.79,-1.55,1.29
2.21,-0.73,-1.53,1.50
2.21,0.80,-1.55,1.17
2.21,0.05,-1.54,1.38
2.21,0.79,-1.55,1.13
2.21,0.31,-1.53,1.45
2.21,0.05,-1.53,1.55
2.22,0.76,-1.52,1.52
2.22,0.44,-1.52,1.38
2.23,0.79,-1.54,1.18
2.23,-0.46,-1.50,1.60
2.23,-0.56,-1.50,1.50
2.24,-0.30,-1.50,1.45
2.24,0.76,-1.50,1.50
2.24,-0.55,-1.50,1.50
2.24,0.37,-1.50,1.48
2.24,-0.57,-1.48,1.62
2.25,-0.29,-1.48,1.46
2.26,0.31,-1.44,1.88
2.27,0.68,-1.44,1.48
2.27,0.40,-1.44,1.51
2.27,-0.42,-1.44,1.72
2.28,0.22,-1.44,1.63
2.28,0.27,-1.42,1.73
2.28,0.41,-1.42,1.65
2.28,-0.20,-1.41,1.71
2.29,-0.14,-1.42,1.63
2.29,-0.02,-1.41,1.74
2.30,-0.00,-1.43,1.34
2.30,-0.19,-1.40,1.67
2.30,0.10,-1.39,1.65
2.31,0.04,-1.37,1.79
2.31,0.17,-1.38,1.83
2.31,0.62,-1.39,1.64
2.31,0.53,-1.37,1.66
2.32,0.60,-1.36,1.55
2.32,0.01,-1.35,1.74
2.32,-0.22,-1.36,1.57
2.32,0.25,-1.35,1.82
2.33,-0.01,-1.35,1.79
2.33,0.19,-1.37,1.60
2.34,-0.38,-1.33,1.80
2.34,-0.15,-1.33,1.57
2.34,0.11,-1.32,1.62
2.34,-0.25,-1.29,1.46
2.35,-0.09,-1.30,1.56
2.36,0.03,-1.29,1.62
2.36,0.10,-1.28,1.48
2.38,-0.06,-1.26,1.44
2.38,0.09,-1.25,1.33
2.38,0.30,-1.26,1.47
2.38,-0.23,-1.28,1.55
2.38,0.03,-1.28,1.50
2.39,-0.02,-1.26,1.56
2.39,0.14,-1.24,1.24
2.39,-0.15,-1.24,1.39
2.39,0.11,-1.23,1.42
2.42,-0.10,-1.20,1.40
2.43,0.14,-1.19,1.29
2.44,0.02,-1.18,1.16
2.44,0.09,-1.19,1.21
2.47,0.00,-1.15,1.17
2.53,0.07,-1.08,0.92
2.55,0.03,-1.07,0.77
2.71,-0.02,-0.96,0.64
2.87,0.07,-0.88,0.53
3.03,0.02,-0.81,0.41
3.18,0.03,-0.74,0.31
3.34,0.03,-0.72,0.34
3.50,0.00,-0.66,0.25
