T,M,E,C
0.50,1.00,-2.00,0.00
0.66,1.00,-2.00,0.00
0.82,1.00,-2.00,0.00
0.97,1.00,-2.00,0.01
1.13,1.00,-1.99,0.04
1.29,1.00,-1.98,0.08
1.45,0.99,-1.97,0.13
1.61,0.98,-1.93,0.26
1.76,0.97,-1.89,0.35
1.92,0.95,-1.82,0.47
2.01,0.93,-1.78,0.57
2.02,0.93,-1.77,0.67
2.04,0.92,-1.76,0.64
2.08,0.91,-1.73,0.65
2.10,0.91,-1.72,0.67
2.10,0.91,-1.71,0.67
2.11,0.90,-1.71,0.70
2.11,0.90,-1.71,0.73
2.12,0.90,-1.71,0.73
2.12,0.90,-1.70,0.69
2.13,0.90,-1.70,0.75
2.13,0.90,-1.70,0.76
2.13,0.90,-1.69,0.74
2.14,0.90,-1.69,0.76
2.14,0.90,-1.69,0.70
2.15,0.89,-1.68,0.74
2.16,0.89,-1.67,0.82
2.18,0.88,-1.66,0.86
2.18,0.88,-1.66,0.81
2.18,0.89,-1.66,0.77
2.18,0.88,-1.66,0.76
2.19,0.88,-1.65,0.87
2.21,0.88,-1.64,0.86
2.21,0.87,-1.63,0.89
2.21,0.87,-1.63,0.83
2.22,0.87,-1.63,0.88
2.22,0.86,-1.62,0.93
2.23,0.86,-1.61,0.92
2.23,0.86,-1.62,0.94
2.23,0.86,-1.62,0.95
2.23,0.86,-1.61,0.93
2.23,0.86,-1.62,0.93
2.23,0.87,-1.62,0.89
2.23,0.86,-1.61,0.93
2.24,0.86,-1.62,0.87
2.24,0.86,-1.61,0.91
2.24,0.85,-1.60,0.98
2.24,0.86,-1.60,0.93
2.24,0.86,-1.61,0.85
2.25,0.86,-1.60,0.90
2.25,0.85,-1.59,0.93
2.25,0.85,-1.59,1.05
2.25,0.86,-1.60,0.92
2.26,0.85,-1.59,0.94
2.26,0.84,-1.58,1.06
2.26,0.85,-1.59,0.97
2.26,0.85,-1.59,0.89
2.27,0.85,-1.58,0.97
2.27,0.85,-1.58,1.01
2.27,0.85,-1.58,0.93
2.27,0.84,-1.57,1.00
2.27,0.84,-1.58,0.98
2.28,0.85,-1.57,0.92
2.28,0.84,-1.56,0.98
2.29,0.84,-1.57,0.95
2.29,0.84,-1.56,0.98
2.29,0.84,-1.56,0.99
2.30,0.83,-1.55,1.02
2.31,0.83,-1.55,0.94
2.31,0.82,-1.53,1.03
2.32,0.82,-1.53,1.00
2.32,0.82,-1.53,1.03
2.32,0.82,-1.53,1.11
2.33,0.81,-1.51,1.12
2.33,0.82,-1.52,1.03
2.33,0.81,-1.51,1.09
2.34,0.81,-1.51,1.06
2.34,0.80,-1.50,1.13
2.34,0.80,-1.50,1.08
2.35,0.80,-1.49,1.05
2.35,0.80,-1.49,1.15
2.37,0.80,-1.48,1.05
2.38,0.79,-1.47,1.07
2.38,0.78,-1.46,1.09
2.39,0.77,-1.44,1.17
2.40,0.77,-1.44,1.32
2.42,0.75,-1.41,1.17
2.42,0.76,-1.43,1.20
2.43,0.75,-1.40,1.17
2.43,0.74,-1.39,1.24
2.44,0.75,-1.40,1.18
2.45,0.74,-1.39,1.17
2.47,0.73,-1.36,1.21
2.55,0.66,-1.26,1.27
2.71,0.48,-1.04,1.08
2.87,0.39,-0.92,1.05
3.03,0.29,-0.83,0.81
3.18,0.21,-0.72,0.47
3.34,0.20,-0.67,0.46
3.50,0.14,-0.60,0.34
