L,C,chi
5.000000,0.958020,0.017109
6.000000,1.055020,0.011305
7.000000,1.128157,0.007609
8.000000,1.216215,0.006094
9.000000,1.262061,0.004740
10.000000,1.313648,0.003554
11.000000,1.365397,0.003016
12.000000,1.414056,0.002443
13.000000,1.455288,0.002018
14.000000,1.498230,0.001775
15.000000,1.510616,0.001426
16.000000,1.540867,0.001196
17.000000,1.575448,0.001022
18.000000,1.589327,0.000946
19.000000,1.623370,0.000865
20.000000,1.665121,0.000700
21.000000,1.667280,0.000716
22.000000,1.686628,0.000657
23.000000,1.706008,0.000509
24.000000,1.711591,0.000476
25.000000,1.769492,0.000497
26.000000,1.762225,0.000353
27.000000,1.822507,0.000270
28.000000,1.767505,0.000312
29.000000,1.774358,0.000284
30.000000,1.816591,0.000227
31.000000,1.836599,0.000245
32.000000,1.837708,0.000162
33.000000,1.883609,0.000243
34.000000,1.951391,0.000157
35.000000,1.900855,0.000166
36.000000,1.863265,0.000144
37.000000,1.893302,0.000133
38.000000,1.896755,0.000191
39.000000,1.954964,0.000149
40.000000,1.903387,0.000133
