T,M,E,C,chi,S
0.500000,1.000000,-2.000000,0.000000,0.000000,0.000000
0.657895,0.999969,-1.999875,0.002301,0.000000,0.030717
0.815789,0.999875,-1.999500,0.008919,0.000000,0.057877
0.973684,0.999219,-1.996938,0.024101,0.000000,0.083337
1.131579,0.998375,-1.993688,0.046115,0.000000,0.108300
1.289474,0.994986,-1.980500,0.102906,0.000000,0.133743
1.447368,0.990563,-1.964326,0.119620,0.000000,0.160673
1.605263,0.979339,-1.927346,0.284475,0.000001,0.190350
1.763158,0.963510,-1.877584,0.397603,0.000001,0.224666
1.921053,0.931438,-1.794295,0.566846,0.000004,0.266916
1.982294,0.918745,-1.758661,0.617557,0.000004,0.286662
2.011882,0.902637,-1.729932,0.826504,0.000007,0.297128
2.022158,0.905998,-1.732808,0.714420,0.000005,0.300925
2.039294,0.903166,-1.722881,0.705912,0.000005,0.307459
2.050340,0.894319,-1.705804,0.749350,0.000006,0.311812
2.058807,0.886396,-1.700922,0.947111,0.000014,0.315227
2.072077,0.877548,-1.677126,0.922509,0.000010,0.320723
2.078947,0.881462,-1.682241,0.885316,0.000010,0.323640
2.082586,0.882375,-1.685759,0.782842,0.000008,0.325206
2.152659,0.817202,-1.588943,1.194214,0.000026,0.358396
2.153543,0.829561,-1.604925,1.233320,0.000028,0.358855
2.162873,0.801205,-1.586414,1.409497,0.000069,0.363761
2.166577,0.831803,-1.596371,1.078430,0.000021,0.365742
2.190035,0.777885,-1.565017,1.345112,0.000106,0.378725
2.191589,0.092109,-1.571885,1.153259,0.001196,0.379613
2.195264,0.777408,-1.551895,1.386338,0.000070,0.381724
2.195277,0.723394,-1.563939,1.329019,0.000254,0.381731
2.199058,0.490646,-1.561001,1.279793,0.000735,0.383923
2.203258,0.003095,-1.531222,1.440517,0.001087,0.386379
2.203820,0.785741,-1.543703,1.444643,0.000047,0.386709
2.205927,0.128235,-1.536896,1.560127,0.001087,0.387952
2.210652,0.737915,-1.531264,1.326587,0.000149,0.390762
2.211900,0.273183,-1.536902,1.337586,0.000992,0.391508
2.223689,0.535817,-1.530287,1.282055,0.000623,0.398662
2.224282,-0.044672,-1.510855,1.424996,0.001061,0.399027
2.232457,0.293107,-1.507466,1.244528,0.000910,0.404094
2.233049,-0.381920,-1.516633,1.344261,0.000832,0.404464
2.233687,0.167280,-1.482969,1.470447,0.000956,0.404863
2.236517,0.533318,-1.522823,1.289797,0.000592,0.406640
2.236842,-0.122939,-1.509608,1.350694,0.001052,0.406844
2.238342,-0.312182,-1.477191,1.464011,0.000806,0.407790
2.239137,0.736731,-1.494401,1.313943,0.000086,0.408292
2.239918,-0.098656,-1.487369,1.509395,0.000993,0.408786
2.241929,0.281892,-1.488065,1.396509,0.000874,0.410061
2.245954,0.409002,-1.501226,1.326421,0.000752,0.412625
2.246333,0.476134,-1.512483,1.216239,0.000686,0.412868
2.252814,0.452666,-1.481126,1.561079,0.000633,0.417034
2.257320,0.370659,-1.486578,1.308758,0.000787,0.419952
2.259670,0.635141,-1.474359,1.513169,0.000289,0.421480
2.263579,0.539115,-1.457954,1.450430,0.000447,0.424033
2.264277,-0.283463,-1.447796,1.540398,0.000771,0.424491
2.265644,0.237428,-1.472898,1.429955,0.000888,0.425386
2.268785,0.394932,-1.464630,1.426540,0.000693,0.427450
2.268977,-0.065102,-1.461379,1.486322,0.000944,0.427577
2.272526,0.380322,-1.451784,1.500463,0.000695,0.429916
2.275907,-0.142063,-1.466652,1.341413,0.000939,0.432151
2.276997,0.662642,-1.452680,1.393657,0.000193,0.432873
2.282854,0.123849,-1.435497,1.424293,0.000897,0.436762
2.284815,0.458840,-1.444992,1.507907,0.000562,0.438066
2.290978,-0.282911,-1.412642,1.474820,0.000715,0.442175
2.296160,0.204729,-1.403537,1.617770,0.000780,0.445635
2.296331,0.326461,-1.410965,1.522330,0.000676,0.445749
2.299472,0.607382,-1.410390,1.481566,0.000223,0.447848
2.299969,0.333337,-1.408659,1.464665,0.000663,0.448180
2.304967,0.626364,-1.412853,1.517936,0.000177,0.451519
2.308071,-0.099045,-1.391704,1.610634,0.000786,0.453591
2.311872,0.304323,-1.404152,1.515493,0.000673,0.456125
2.313052,0.296019,-1.389741,1.641553,0.000670,0.456912
2.313687,0.392233,-1.388336,1.584956,0.000548,0.457335
2.316756,0.131321,-1.374965,1.528801,0.000737,0.459377
2.317781,-0.110624,-1.351710,1.733076,0.000692,0.460058
2.328430,0.218116,-1.360211,1.548094,0.000659,0.467108
2.339555,0.284084,-1.332593,1.541587,0.000536,0.474398
2.343649,0.043297,-1.343650,1.599307,0.000710,0.477057
2.347507,0.180158,-1.328362,1.474518,0.000615,0.479548
2.347658,0.219002,-1.322965,1.429754,0.000577,0.479645
2.355588,0.072582,-1.336922,1.435058,0.000685,0.484717
2.358167,0.149631,-1.323284,1.634759,0.000626,0.486353
2.365798,-0.142995,-1.315719,1.454324,0.000617,0.491146
2.366894,0.237970,-1.292914,1.447262,0.000485,0.491830
2.385207,0.003865,-1.278489,1.414303,0.000580,0.503006
2.390831,-0.102169,-1.245040,1.410591,0.000488,0.506345
2.393746,-0.037977,-1.273033,1.498146,0.000573,0.508057
2.394737,0.124386,-1.253789,1.344952,0.000489,0.508636
2.399151,0.027521,-1.275866,1.488825,0.000575,0.511200
2.399858,0.205239,-1.269625,1.355028,0.000505,0.511608
2.407935,-0.079755,-1.217337,1.349317,0.000432,0.516213
2.408043,0.062740,-1.244019,1.444444,0.000494,0.516274
2.424774,0.283206,-1.213449,1.377754,0.000320,0.525492
2.425791,-0.047944,-1.227258,1.314192,0.000465,0.526039
2.486270,-0.005629,-1.147696,1.092652,0.000334,0.555725
2.487932,0.036813,-1.142969,1.048885,0.000351,0.556465
2.494180,-0.022659,-1.141879,1.104257,0.000341,0.559218
2.552632,0.042781,-1.079292,0.876283,0.000244,0.582610
2.710526,0.010995,-0.968212,0.601729,0.000133,0.629874
2.868421,0.035799,-0.889644,0.514158,0.000080,0.662975
3.026316,-0.025256,-0.817828,0.384673,0.000062,0.688083
3.184211,0.002224,-0.745493,0.385058,0.000043,0.708206
3.342105,-0.002241,-0.714081,0.255044,0.000033,0.724979
3.500000,-0.007125,-0.643250,0.285203,0.000025,0.739378
